service_id,date,exception_type
20190208_-----S-_23,20190323,1
20190208_-----S-_24,20190323,1
20190208_-----S-_9,20190323,1
20180819_------S_14,20190324,1
20180909_------S_5,20190324,1
20180909_------S_6,20190324,1
20190106_------S_38,20190324,1
20190208_------S_68,20190324,1
20190208_------S_70,20190324,1
20180819_MTWTF--_15,20190325,1
20180909_M-W-F--_18,20190325,1
20180909_MT--F--_61,20190325,1
20180909_MT-T---_73,20190325,1
20180909_MTW-F--_7,20190325,1
20180909_MTWTF--_17,20190325,1
20180909_MTWTF--_30,20190325,1
20190106_M-WT---_40,20190325,1
20190106_MTWTF--_27,20190325,1
20190208_MTWTF--_44,20190325,1
20190208_MTWTF--_56,20190325,1
20190208_MTWTF--_69,20190325,1
20180819_MTWTF--_15,20190326,1
20180909_MT--F--_61,20190326,1
20180909_MT-T---_73,20190326,1
20180909_MTW-F--_7,20190326,1
20180909_MTWTF--_17,20190326,1
20180909_MTWTF--_30,20190326,1
20190106_-T--F--_29,20190326,1
20190106_-T-T---_41,20190326,1
20190106_MTWTF--_27,20190326,1
20190208_MTWTF--_44,20190326,1
20190208_MTWTF--_56,20190326,1
20190208_MTWTF--_69,20190326,1
20180819_MTWTF--_15,20190327,1
20180909_--W----_63,20190327,1
20180909_--W-F--_31,20190327,1
20180909_M-W-F--_18,20190327,1
20180909_MTW-F--_7,20190327,1
20180909_MTWTF--_17,20190327,1
20180909_MTWTF--_30,20190327,1
20190106_M-WT---_40,20190327,1
20190106_MTWTF--_27,20190327,1
20190208_MTWTF--_44,20190327,1
20190208_MTWTF--_56,20190327,1
20190208_MTWTF--_69,20190327,1
20180819_MTWTF--_15,20190328,1
20180909_---T---_8,20190328,1
20180909_MT-T---_73,20190328,1
20180909_MTWTF--_17,20190328,1
20180909_MTWTF--_30,20190328,1
20190106_-T-T---_41,20190328,1
20190106_M-WT---_40,20190328,1
20190106_MTWTF--_27,20190328,1
20190208_MTWTF--_44,20190328,1
20190208_MTWTF--_56,20190328,1
20190208_MTWTF--_69,20190328,1
20180819_----F--_53,20190329,1
20180819_MTWTF--_15,20190329,1
20180909_----F--_62,20190329,1
20180909_--W-F--_31,20190329,1
20180909_M-W-F--_18,20190329,1
20180909_MT--F--_61,20190329,1
20180909_MTW-F--_7,20190329,1
20180909_MTWTF--_17,20190329,1
20180909_MTWTF--_30,20190329,1
20190106_----F--_37,20190329,1
20190106_-T--F--_29,20190329,1
20190106_MTWTF--_27,20190329,1
20190208_----F--_48,20190329,1
20190208_----F--_65,20190329,1
20190208_MTWTF--_44,20190329,1
20190208_MTWTF--_56,20190329,1
20190208_MTWTF--_69,20190329,1
20180819_-----S-_16,20190330,1
20180819_-----S-_60,20190330,1
20180909_-----S-_39,20190330,1
20180909_-----S-_47,20190330,1
20190106_-----S-_28,20190330,1
20190208_-----S-_23,20190330,1
20190208_-----S-_24,20190330,1
20190208_-----S-_9,20190330,1
20180819_------S_14,20190331,1
20180909_------S_5,20190331,1
20180909_------S_6,20190331,1
20190106_------S_38,20190331,1
20190208_------S_68,20190331,1
20190208_------S_70,20190331,1
20180819_MTWTF--_15,20190401,1
20180909_M-W-F--_18,20190401,1
20180909_MT--F--_61,20190401,1
20180909_MT-T---_73,20190401,1
20180909_MTW-F--_7,20190401,1
20180909_MTWTF--_17,20190401,1
20180909_MTWTF--_30,20190401,1
20190106_M-WT---_40,20190401,1
20190106_MTWTF--_27,20190401,1
20190208_MTWTF--_44,20190401,1
20190208_MTWTF--_56,20190401,1
20190208_MTWTF--_69,20190401,1
20180819_MTWTF--_15,20190402,1
20180909_MT--F--_61,20190402,1
20180909_MT-T---_73,20190402,1
20180909_MTW-F--_7,20190402,1
20180909_MTWTF--_17,20190402,1
20180909_MTWTF--_30,20190402,1
20190106_-T--F--_29,20190402,1
20190106_-T-T---_41,20190402,1
20190106_MTWTF--_27,20190402,1
20190208_MTWTF--_44,20190402,1
20190208_MTWTF--_56,20190402,1
20190208_MTWTF--_69,20190402,1
20180819_MTWTF--_15,20190403,1
20180909_--W----_63,20190403,1
20180909_--W-F--_31,20190403,1
20180909_M-W-F--_18,20190403,1
20180909_MTW-F--_7,20190403,1
20180909_MTWTF--_17,20190403,1
20180909_MTWTF--_30,20190403,1
20190106_M-WT---_40,20190403,1
20190106_MTWTF--_27,20190403,1
20190208_MTWTF--_44,20190403,1
20190208_MTWTF--_56,20190403,1
20190208_MTWTF--_69,20190403,1
20180819_MTWTF--_15,20190404,1
20180909_---T---_8,20190404,1
20180909_MT-T---_73,20190404,1
20180909_MTWTF--_17,20190404,1
20180909_MTWTF--_30,20190404,1
20190106_-T-T---_41,20190404,1
20190106_M-WT---_40,20190404,1
20190106_MTWTF--_27,20190404,1
20190208_MTWTF--_44,20190404,1
20190208_MTWTF--_56,20190404,1
20190208_MTWTF--_69,20190404,1
20180819_----F--_53,20190405,1
20180819_MTWTF--_15,20190405,1
